Time	A	B	C	k1	k2	k3	k4	D
0	100.0	1.0	1.0	0.1	0.1	0.1	0.1	1
1	91.1204	9.44779	1.43181	0.1	0.1	0.1	0.1	1
2	84.7729	14.7492	2.4778700000000002	0.1	0.1	0.1	0.1	1
3	81.4924	16.7412	3.76632	0.1	0.1	0.1	0.1	1
4	80.7142	16.2926	4.99311	0.1	0.1	0.1	0.1	1
5	81.2065	14.7942	5.9993099999999995	0.1	0.1	0.1	0.1	1
6	81.9947	13.2459	6.75944	0.1	0.1	0.1	0.1	1
7	82.6471	12.0377	7.31515	0.1	0.1	0.1	0.1	1
8	83.0817	11.197000000000001	7.72129	0.1	0.1	0.1	0.1	1
9	83.3435	10.6335	8.02299	0.1	0.1	0.1	0.1	1
10	83.4941	10.2539	8.2519	0.1	0.1	0.1	0.1	1
11	83.5797	9.99131	8.428989999999999	0.1	0.1	0.1	0.1	1
12	83.6286	9.8033	8.5681	0.1	0.1	0.1	0.1	1
13	83.65700000000001	9.66436	8.67861	0.1	0.1	0.1	0.1	1
14	83.67399999999999	9.55895	8.76709	0.1	0.1	0.1	0.1	1
15	83.6843	9.4774	8.838339999999999	0.1	0.1	0.1	0.1	1
16	83.6907	9.41339	8.89594	0.1	0.1	0.1	0.1	1
17	83.6947	9.36265	8.942639999999999	0.1	0.1	0.1	0.1	1
18	83.6973	9.32212	8.98058	0.1	0.1	0.1	0.1	1
19	83.699	9.28957	9.01145	0.1	0.1	0.1	0.1	1
20	83.7001	9.26332	9.0366	0.1	0.1	0.1	0.1	1
